OLN	gene.description	gene.family	Gene_Name	stats_Pinfestans	stats_Cfulvum	stats_PSTVd_S23	stats_PSTVd_M	stats_Bcinerea	stats_Mincognita_7dpi	stats_Mincognita_14dpi	Pinfestans_acts	Cfulvum_acts	PSTVd_S23_acts	PSTVd_M_acts	Bcinerea_acts	Mincognita_7dpi_acts	Mincognita_14dpi_acts	Pinfestans_pval	Cfulvum_pval	PSTVd_S23_pval	PSTVd_M_pval	Bcinerea_pval	Mincognita_7dpi_pval	Mincognita_14dpi_pval	Groups
Solyc00g014850	orf86 (mitochondrion) (AHRD V3.3 *** YP_002608396.1)		mRNA:Solyc00g014850.1.1	1.53688769793619	1.78933862614871	4.40971039634015	3.72793082080916	-0.578172173399409	-1.12566231331886	-3.18343554938499															
Solyc00g020040	Cytochrome c biogenesis B (AHRD V3.3 *** A0A0C5B708_9SOLA)		mRNA:Solyc00g020040.1.1	4.04084757607096	1.99628526279502	1.08237443528222	0.831666875339956	1.25433888166349	0.96655572933752	-0.591382446987799															
Solyc00g020020	Unknown protein		mRNA:Solyc00g020020.2.1	2.55115257166875	4.77781350509625	2.73267324300927	3.97980455909319	1.97883794644233	4.52823691096846	-1.54916079717128															
Solyc00g020010	Unknown protein		mRNA:Solyc00g020010.1.1	1.95347311479356	4.40785486331093	2.27561853490883	3.17378161771056	2.69745384328901	-0.92419534079844	0.730794920331983															
Solyc00g019950	NADH dehydrogenase subunit 9 (AHRD V3.11 *** tr|A0A290WKX8|A0A290WKX8_SOLLC)		mRNA:Solyc00g019950.2.1	0.644473634337264	3.88422506233451	1.0444717654007	0.169912603973901	0.781689678720334	1.9846745925204	3.6649323674217															
Solyc00g021630	NADH-ubiquinone oxidoreductase chain 6 (AHRD V3.3 *** A0A0C5B7I5_9SOLA)		mRNA:Solyc00g021630.1.1	1.48334171856826	0.825099196699148	1.80967657312561	1.29737607337961	0.488447239181609	0.0	1.02531823361866															
Solyc09g074470	Kinase interacting (KIP1-like) protein (AHRD V3.3 *** A0A2K3LEM5_TRIPR)		mRNA:Solyc09g074470.3.1	2.49509876919035	-2.1277064188849	-2.22398198377185	-1.2452546726255	-3.67803605268813	2.55305871278611	-1.15819286476645															
Solyc09g074710	Homeobox protein LUMINIDEPENDENS (AHRD V3.3 *-* A0A2G2ZWA4_CAPAN)		mRNA:Solyc09g074710.2.1	0.0526970994295483	-0.234298147355975	0.668674453999411	1.5755326510972	-0.355281809542765	-1.27645986159583	3.16665385316006															
Solyc09g074900	Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase (AHRD V3.11 *** tr|A0A1U8GCH1|A0A1U8GCH1_CAPAN)		mRNA:Solyc09g074900.5.1	4.36632075999631	1.66517525648617	-1.55871592395293	-2.02466072791836	6.00190586244892	2.46901263357541	0.34025594210378															
Solyc09g074940	(DB240) meloidogyne-induced giant cell protein		mRNA:Solyc09g074940.3.1	-6.21568516061733	0.387823227701622	-0.830712897008022	-0.539998888169971	-7.4627029267561	1.43270219250078	3.45043654712691															
